index,x,y,diff_samples,min_diff,max_diff,diff_mean_dn,diff_variance_dn,single_frame_variance_estimate_dn
0,1251,457,299,-4,4,-3.46945e-18,1.46488,0.732441
1,1442,457,299,-3,4,0.00668896,1.33106,0.665529
2,1633,457,299,-4,3,-3.45784e-18,1.47826,0.73913
3,1824,457,299,-4,4,0.00334448,1.55517,0.777586
4,1251,604,299,-3,3,4.33681e-19,1.27759,0.638796
5,1442,604,299,-4,3,0,1.47157,0.735786
6,1633,604,299,-3,3,0.00668896,1.26417,0.632085
7,1824,604,299,-3,3,0.00334448,1.16721,0.583606
8,1251,750,299,-3,3,0.00668896,1.43139,0.715697
9,1442,750,299,-5,4,0.00668896,1.69895,0.849476
10,1633,750,299,-3,3,-0.00334448,1.18059,0.590295
11,1824,750,299,-3,3,0.00334448,1.53511,0.767553
12,1251,897,299,-4,3,2.08167e-17,1.5786,0.789298
13,1442,897,299,-4,4,-0.00334448,1.28093,0.640463
14,1633,897,299,-3,4,-1.6857e-17,1.34448,0.672241
15,1824,897,299,-3,3,0.00334448,1.16052,0.580262
