index,x,y,frames,min,max,mean_dn,variance_dn,variance_over_mean
0,1251,457,300,85,89,87.1467,0.651822,0.0074796
1,1442,457,300,86,91,88.5133,0.663156,0.00749215
2,1633,457,300,87,91,89.0267,0.685956,0.00770506
3,1824,457,300,85,89,87.07,0.771767,0.00886375
4,1251,604,300,86,90,87.7367,0.680656,0.00775794
5,1442,604,300,86,91,88.9133,0.752489,0.00846317
6,1633,604,300,88,91,89.5133,0.616489,0.00688712
7,1824,604,300,85,89,87.02,0.6596,0.00757987
8,1251,750,300,84,89,86.9867,0.739822,0.00850501
9,1442,750,300,85,91,88.5467,0.807822,0.00912312
10,1633,750,300,86,91,88.9333,0.655556,0.00737131
11,1824,750,300,84,88,85.8633,0.764656,0.0089055
12,1251,897,300,85,90,87.3533,0.741822,0.0084922
13,1442,897,300,85,90,87.7467,0.669156,0.00762599
14,1633,897,300,85,89,87.06,0.6564,0.00753963
15,1824,897,300,82,86,83.7233,0.593456,0.00708829
