index,x,y,diff_samples,min_diff,max_diff,diff_mean_dn,diff_variance_dn,single_frame_variance_estimate_dn
0,1251,457,105,-2,2,0.00952381,0.733243,0.366621
1,1442,457,105,-2,1,-2.04202e-17,0.571429,0.285714
2,1633,457,105,-2,3,5.15461e-18,0.971429,0.485714
3,1824,457,105,-2,2,-7.68235e-18,0.419048,0.209524
4,1251,604,105,-2,2,0.00952381,0.771338,0.385669
5,1442,604,105,-2,2,-6.87281e-18,0.72381,0.361905
6,1633,604,105,-3,2,-0.0190476,0.85678,0.42839
7,1824,604,105,-1,2,8.01277e-18,0.590476,0.295238
8,1251,750,105,-2,2,-9.91271e-18,0.704762,0.352381
9,1442,750,105,-2,3,-8.59101e-18,0.857143,0.428571
10,1633,750,105,-2,2,-0.0190476,0.723447,0.361723
11,1824,750,105,-2,2,-6.87281e-18,0.628571,0.314286
12,1251,897,105,-2,2,1.38778e-17,0.742857,0.371429
13,1442,897,105,-2,2,6.74064e-18,0.761905,0.380952
14,1633,897,105,-3,3,5.10504e-18,0.990476,0.495238
15,1824,897,105,-2,2,0.00952381,0.657052,0.328526
