index,x,y,frames,min,max,mean_dn,variance_dn,variance_over_mean
0,1251,457,106,51,54,52.5377,0.380651,0.0072453
1,1442,457,106,50,53,51.6792,0.312211,0.00604132
2,1633,457,106,48,51,49.4811,0.476059,0.00962102
3,1824,457,106,46,48,46.8962,0.22508,0.00479954
4,1251,604,106,53,55,53.8208,0.392399,0.00729086
5,1442,604,106,51,54,52.717,0.372731,0.00707041
6,1633,604,106,49,52,50.434,0.377714,0.00748929
7,1824,604,106,46,48,47.1415,0.272428,0.00577894
8,1251,750,106,53,56,54.0943,0.368459,0.00681141
9,1442,750,106,51,54,52.9151,0.417319,0.00788658
10,1633,750,106,49,52,50.4245,0.395247,0.0078384
11,1824,750,106,45,48,46.4717,0.324671,0.00698642
12,1251,897,106,52,55,53.5094,0.344251,0.00643346
13,1442,897,106,51,53,51.9245,0.39053,0.00752112
14,1633,897,106,47,50,48.8019,0.423015,0.00866801
15,1824,897,106,44,46,45.1604,0.361072,0.00799532
