file,fps,frame_index,method,roi_mean_dn,roi_highpass_noise_sigma_dn,mae_to_temporal_mean_dn
Video_20260712153023604_w1920_h1200_pMono10_f20.raw,20,0,input,308.98059,4.77160,3.73875
Video_20260712153023604_w1920_h1200_pMono10_f20.raw,20,0,temporal_trimmed_mean,308.97647,1.38148,0.00000
Video_20260712153023604_w1920_h1200_pMono10_f20.raw,20,0,vst_bm3d,308.96432,0.05606,1.17390
Video_20260712153023604_w1920_h1200_pMono10_f20.raw,20,0,vst_nlm,309.02762,0.00005,1.42947
Video_20260712153023604_w1920_h1200_pMono10_f20.raw,20,73,input,298.75854,4.66283,3.68537
Video_20260712153023604_w1920_h1200_pMono10_f20.raw,20,73,temporal_trimmed_mean,298.75327,1.35026,0.00000
Video_20260712153023604_w1920_h1200_pMono10_f20.raw,20,73,vst_bm3d,298.73172,0.05257,1.16611
Video_20260712153023604_w1920_h1200_pMono10_f20.raw,20,73,vst_nlm,298.71317,0.00005,1.41997
Video_20260712153052883_w1920_h1200_pMono10_f14.raw,14,0,input,370.84869,5.29949,4.16562
Video_20260712153052883_w1920_h1200_pMono10_f14.raw,14,0,temporal_trimmed_mean,370.84415,1.58105,0.00000
Video_20260712153052883_w1920_h1200_pMono10_f14.raw,14,0,vst_bm3d,370.82590,0.06916,1.36011
Video_20260712153052883_w1920_h1200_pMono10_f14.raw,14,0,vst_nlm,370.77652,0.00009,1.62565
Video_20260712153052883_w1920_h1200_pMono10_f14.raw,14,44,input,346.23737,5.10168,4.00207
Video_20260712153052883_w1920_h1200_pMono10_f14.raw,14,44,temporal_trimmed_mean,346.23248,1.50855,0.00000
Video_20260712153052883_w1920_h1200_pMono10_f14.raw,14,44,vst_bm3d,346.21756,0.06560,1.28996
Video_20260712153052883_w1920_h1200_pMono10_f14.raw,14,44,vst_nlm,346.00070,0.00005,1.54761
Video_20260712153129232_w1920_h1200_pMono10_f11.raw,11,0,input,423.65430,5.72158,4.88996
Video_20260712153129232_w1920_h1200_pMono10_f11.raw,11,0,temporal_trimmed_mean,423.64938,1.77961,0.00000
Video_20260712153129232_w1920_h1200_pMono10_f11.raw,11,0,vst_bm3d,423.63455,0.08343,2.44030
Video_20260712153129232_w1920_h1200_pMono10_f11.raw,11,0,vst_nlm,423.66312,0.00009,2.56153
Video_20260712153129232_w1920_h1200_pMono10_f11.raw,11,51,input,467.21301,6.04020,4.72600
Video_20260712153129232_w1920_h1200_pMono10_f11.raw,11,51,temporal_trimmed_mean,467.20911,1.88406,0.00000
Video_20260712153129232_w1920_h1200_pMono10_f11.raw,11,51,vst_bm3d,467.18585,0.09083,1.60060
Video_20260712153129232_w1920_h1200_pMono10_f11.raw,11,51,vst_nlm,467.28333,0.00005,1.86509
Video_20260712153203825_w1920_h1200_pMono10_f9.raw,9,0,input,503.82574,6.39093,4.94799
Video_20260712153203825_w1920_h1200_pMono10_f9.raw,9,0,temporal_trimmed_mean,503.81693,2.00975,0.00000
Video_20260712153203825_w1920_h1200_pMono10_f9.raw,9,0,vst_bm3d,503.80716,0.11207,1.70806
Video_20260712153203825_w1920_h1200_pMono10_f9.raw,9,0,vst_nlm,503.75922,0.00005,1.96948
Video_20260712153203825_w1920_h1200_pMono10_f9.raw,9,51,input,499.12704,6.36234,4.90265
Video_20260712153203825_w1920_h1200_pMono10_f9.raw,9,51,temporal_trimmed_mean,499.11639,1.99701,0.00000
Video_20260712153203825_w1920_h1200_pMono10_f9.raw,9,51,vst_bm3d,499.10916,0.11275,1.67427
Video_20260712153203825_w1920_h1200_pMono10_f9.raw,9,51,vst_nlm,499.09024,0.00009,1.94030
Video_20260712153240740_w1920_h1200_pMono10_f8.raw,8,0,input,554.22015,6.63179,5.21581
Video_20260712153240740_w1920_h1200_pMono10_f8.raw,8,0,temporal_trimmed_mean,554.21594,2.12383,0.00000
Video_20260712153240740_w1920_h1200_pMono10_f8.raw,8,0,vst_bm3d,554.20038,0.10994,1.88258
Video_20260712153240740_w1920_h1200_pMono10_f8.raw,8,0,vst_nlm,554.06256,0.00009,2.14968
Video_20260712153240740_w1920_h1200_pMono10_f8.raw,8,54,input,565.00818,6.72016,5.22424
Video_20260712153240740_w1920_h1200_pMono10_f8.raw,8,54,temporal_trimmed_mean,565.00354,2.14478,0.00000
Video_20260712153240740_w1920_h1200_pMono10_f8.raw,8,54,vst_bm3d,564.98358,0.11899,1.85093
Video_20260712153240740_w1920_h1200_pMono10_f8.raw,8,54,vst_nlm,564.88617,0.00009,2.11716
Video_20260712153325230_w1920_h1200_pMono10_f7.raw,7,0,input,641.72742,7.14464,5.65980
Video_20260712153325230_w1920_h1200_pMono10_f7.raw,7,0,temporal_trimmed_mean,641.72272,2.34209,0.00000
Video_20260712153325230_w1920_h1200_pMono10_f7.raw,7,0,vst_bm3d,641.71014,0.12958,2.22083
