file,fps,frame_index,method,blind_sigma_dn,roi_mean_dn,roi_highpass_noise_sigma_dn,mae_to_temporal_reference_dn,gradient_mae_to_temporal_reference
Video_20260712100736662_w1920_h1200_pMono10_f10.raw,10,10,input,5.228466,298.903656,5.210860,4.186163,15.384146
Video_20260712100736662_w1920_h1200_pMono10_f10.raw,10,10,temporal_trimmed_mean,5.228466,298.898438,1.863586,0.000000,0.000000
Video_20260712100736662_w1920_h1200_pMono10_f10.raw,10,10,blind_bm3d,5.228466,298.909882,0.327572,1.613205,6.587902
Video_20260712100736662_w1920_h1200_pMono10_f10.raw,10,10,ptc_vst_bm3d,5.228466,298.894806,0.188535,1.568955,6.827374
Video_20260712100821415_w1920_h1200_pMono10_f20.raw,20,10,input,4.238351,525.693604,5.725858,4.054325,15.236771
Video_20260712100821415_w1920_h1200_pMono10_f20.raw,20,10,temporal_trimmed_mean,4.238351,525.684143,2.043026,0.000000,0.000000
Video_20260712100821415_w1920_h1200_pMono10_f20.raw,20,10,blind_bm3d,4.238351,525.692627,1.900867,2.136486,8.376200
Video_20260712100821415_w1920_h1200_pMono10_f20.raw,20,10,ptc_vst_bm3d,4.238351,525.669983,0.335580,1.812081,7.922656
Video_exposure_100ms_w1920_h1200_pMono10_f10.raw,10,10,input,3.139396,341.745117,3.095532,2.413777,8.412072
Video_exposure_100ms_w1920_h1200_pMono10_f10.raw,10,10,temporal_trimmed_mean,3.139396,341.743713,1.368699,0.000000,0.000000
Video_exposure_100ms_w1920_h1200_pMono10_f10.raw,10,10,blind_bm3d,3.139396,341.748749,0.285381,1.051153,4.499408
Video_exposure_100ms_w1920_h1200_pMono10_f10.raw,10,10,ptc_vst_bm3d,3.139396,341.742462,0.060085,1.125082,5.440945
Video_exposure_10ms_w1920_h1200_pMono10_f20.raw,20,10,input,1.047646,81.610016,0.882148,0.744298,2.878085
Video_exposure_10ms_w1920_h1200_pMono10_f20.raw,20,10,temporal_trimmed_mean,1.047646,81.608818,0.257216,0.000000,0.000000
Video_exposure_10ms_w1920_h1200_pMono10_f20.raw,20,10,blind_bm3d,1.047646,81.609360,0.009524,0.220493,1.026669
