file,fps,frame_index,method,roi_mean_dn,roi_highpass_noise_sigma_dn,mae_to_temporal_mean_dn
Video_20260712100736662_w1920_h1200_pMono10_f10.raw,10,10,input,298.90366,5.21086,3.90870
Video_20260712100736662_w1920_h1200_pMono10_f10.raw,10,10,temporal_trimmed_mean,298.89859,1.82350,0.00000
Video_20260712100736662_w1920_h1200_pMono10_f10.raw,10,10,vst_bm3d,298.89481,0.18853,1.49995
Video_20260712100736662_w1920_h1200_pMono10_f10.raw,10,10,vst_nlm,298.78098,0.26326,1.89346
Video_20260712100821415_w1920_h1200_pMono10_f20.raw,20,10,input,525.69360,5.72586,3.78397
Video_20260712100821415_w1920_h1200_pMono10_f20.raw,20,10,temporal_trimmed_mean,525.68451,2.00050,0.00000
Video_20260712100821415_w1920_h1200_pMono10_f20.raw,20,10,vst_bm3d,525.66998,0.33558,1.72430
Video_20260712100821415_w1920_h1200_pMono10_f20.raw,20,10,vst_nlm,525.66772,1.11945,2.08228
Video_exposure_100ms_w1920_h1200_pMono10_f10.raw,10,10,input,341.74512,3.09553,2.25377
Video_exposure_100ms_w1920_h1200_pMono10_f10.raw,10,10,temporal_trimmed_mean,341.74374,1.35585,0.00000
Video_exposure_100ms_w1920_h1200_pMono10_f10.raw,10,10,vst_bm3d,341.74246,0.06009,1.10730
Video_exposure_100ms_w1920_h1200_pMono10_f10.raw,10,10,vst_nlm,341.50793,0.00005,1.53428
Video_exposure_10ms_w1920_h1200_pMono10_f20.raw,20,10,input,81.61002,0.88215,0.69479
Video_exposure_10ms_w1920_h1200_pMono10_f20.raw,20,10,temporal_trimmed_mean,81.60884,0.24994,0.00000
Video_exposure_10ms_w1920_h1200_pMono10_f20.raw,20,10,vst_bm3d,81.60814,0.00460,0.21337
Video_exposure_10ms_w1920_h1200_pMono10_f20.raw,20,10,vst_nlm,81.89928,0.00000,0.61625
Video_exposure_110ms_w1920_h1200_pMono10_f9.raw,9,10,input,367.54565,3.24443,2.34367
Video_exposure_110ms_w1920_h1200_pMono10_f9.raw,9,10,temporal_trimmed_mean,367.54480,1.45842,0.00000
Video_exposure_110ms_w1920_h1200_pMono10_f9.raw,9,10,vst_bm3d,367.54532,0.07135,1.18353
Video_exposure_110ms_w1920_h1200_pMono10_f9.raw,9,10,vst_nlm,367.46991,0.00009,1.62368
Video_exposure_120ms_w1920_h1200_pMono10_f8.raw,8,10,input,385.70715,3.34261,2.41061
Video_exposure_120ms_w1920_h1200_pMono10_f8.raw,8,10,temporal_trimmed_mean,385.70569,1.53063,0.00000
Video_exposure_120ms_w1920_h1200_pMono10_f8.raw,8,10,vst_bm3d,385.70599,0.07533,1.24050
Video_exposure_120ms_w1920_h1200_pMono10_f8.raw,8,10,vst_nlm,385.68973,0.00005,1.68337
Video_exposure_130ms_w1920_h1200_pMono10_f8.raw,8,10,input,423.67175,3.55271,2.54442
Video_exposure_130ms_w1920_h1200_pMono10_f8.raw,8,10,temporal_trimmed_mean,423.67044,1.68765,0.00000
Video_exposure_130ms_w1920_h1200_pMono10_f8.raw,8,10,vst_bm3d,423.67334,0.08909,1.35833
Video_exposure_130ms_w1920_h1200_pMono10_f8.raw,8,10,vst_nlm,423.68521,0.00005,1.82394
Video_exposure_140ms_w1920_h1200_pMono10_f7.raw,7,10,input,444.82523,3.67451,2.60087
Video_exposure_140ms_w1920_h1200_pMono10_f7.raw,7,10,temporal_trimmed_mean,444.82343,1.75556,0.00000
Video_exposure_140ms_w1920_h1200_pMono10_f7.raw,7,10,vst_bm3d,444.82330,0.09551,1.40391
Video_exposure_140ms_w1920_h1200_pMono10_f7.raw,7,10,vst_nlm,444.81876,0.00005,1.87375
Video_exposure_150ms_w1920_h1200_pMono10_f7.raw,7,10,input,467.52704,3.79293,2.67670
Video_exposure_150ms_w1920_h1200_pMono10_f7.raw,7,10,temporal_trimmed_mean,467.52539,1.84277,0.00000
Video_exposure_150ms_w1920_h1200_pMono10_f7.raw,7,10,vst_bm3d,467.52438,0.10424,1.47272
Video_exposure_150ms_w1920_h1200_pMono10_f7.raw,7,10,vst_nlm,467.68060,0.00005,1.96286
Video_exposure_160ms_w1920_h1200_pMono10_f6.raw,6,10,input,555.39124,4.19360,2.92488
Video_exposure_160ms_w1920_h1200_pMono10_f6.raw,6,10,temporal_trimmed_mean,555.38989,2.15627,0.00000
Video_exposure_160ms_w1920_h1200_pMono10_f6.raw,6,10,vst_bm3d,555.39197,0.14528,1.71088
Video_exposure_160ms_w1920_h1200_pMono10_f6.raw,6,10,vst_nlm,555.37000,0.00009,2.25325
Video_exposure_170ms_w1920_h1200_pMono10_f6.raw,6,10,input,655.86548,4.64057,3.17475
Video_exposure_170ms_w1920_h1200_pMono10_f6.raw,6,10,temporal_trimmed_mean,655.86420,2.47290,0.00000
Video_exposure_170ms_w1920_h1200_pMono10_f6.raw,6,10,vst_bm3d,655.86853,0.19464,1.95237
Video_exposure_170ms_w1920_h1200_pMono10_f6.raw,6,10,vst_nlm,655.94720,0.00018,2.55586
Video_exposure_180ms_w1920_h1200_pMono10_f6.raw,6,10,input,544.32233,4.14786,2.90504
Video_exposure_180ms_w1920_h1200_pMono10_f6.raw,6,10,temporal_trimmed_mean,544.32080,2.12594,0.00000
Video_exposure_180ms_w1920_h1200_pMono10_f6.raw,6,10,vst_bm3d,544.32245,0.14370,1.69499
Video_exposure_180ms_w1920_h1200_pMono10_f6.raw,6,10,vst_nlm,544.27197,0.00009,2.23305
Video_exposure_190ms_w1920_h1200_pMono10_f5.raw,5,10,input,515.33997,4.01321,2.82628
Video_exposure_190ms_w1920_h1200_pMono10_f5.raw,5,10,temporal_trimmed_mean,515.33856,2.00923,0.00000
Video_exposure_190ms_w1920_h1200_pMono10_f5.raw,5,10,vst_bm3d,515.34320,0.12768,1.61078
Video_exposure_190ms_w1920_h1200_pMono10_f5.raw,5,10,vst_nlm,515.31830,0.00009,2.13093
Video_exposure_200ms_w1920_h1200_pMono10_f5.raw,5,10,input,437.23563,3.64159,2.61507
Video_exposure_200ms_w1920_h1200_pMono10_f5.raw,5,10,temporal_trimmed_mean,437.23465,1.75217,0.00000
Video_exposure_200ms_w1920_h1200_pMono10_f5.raw,5,10,vst_bm3d,437.23727,0.09424,1.42920
Video_exposure_200ms_w1920_h1200_pMono10_f5.raw,5,10,vst_nlm,437.28461,0.00005,1.90094
Video_exposure_20ms_w1920_h1200_pMono10_f20.raw,20,10,input,101.15943,1.15837,0.91256
Video_exposure_20ms_w1920_h1200_pMono10_f20.raw,20,10,temporal_trimmed_mean,101.15788,0.34624,0.00000
Video_exposure_20ms_w1920_h1200_pMono10_f20.raw,20,10,vst_bm3d,101.15627,0.00731,0.29781
Video_exposure_20ms_w1920_h1200_pMono10_f20.raw,20,10,vst_nlm,101.04209,0.00001,0.70734
Video_exposure_210ms_w1920_h1200_pMono10_f5.raw,5,10,input,429.17462,3.58418,2.59215
Video_exposure_210ms_w1920_h1200_pMono10_f5.raw,5,10,temporal_trimmed_mean,429.17297,1.70883,0.00000
Video_exposure_210ms_w1920_h1200_pMono10_f5.raw,5,10,vst_bm3d,429.17627,0.09311,1.40136
Video_exposure_210ms_w1920_h1200_pMono10_f5.raw,5,10,vst_nlm,429.16763,0.00005,1.87503
Video_exposure_220ms_w1920_h1200_pMono10_f5.raw,5,10,input,479.08417,3.84675,2.73164
Video_exposure_220ms_w1920_h1200_pMono10_f5.raw,5,10,temporal_trimmed_mean,479.08286,1.90892,0.00000
Video_exposure_220ms_w1920_h1200_pMono10_f5.raw,5,10,vst_bm3d,479.08688,0.11551,1.53569
Video_exposure_220ms_w1920_h1200_pMono10_f5.raw,5,10,vst_nlm,479.11212,0.00009,2.03517
Video_exposure_300ms_w1920_h1200_pMono10_f3.raw,3,10,input,524.59241,4.06343,2.85610
Video_exposure_300ms_w1920_h1200_pMono10_f3.raw,3,10,temporal_trimmed_mean,524.59070,2.05841,0.00000
Video_exposure_300ms_w1920_h1200_pMono10_f3.raw,3,10,vst_bm3d,524.59473,0.12662,1.65519
Video_exposure_300ms_w1920_h1200_pMono10_f3.raw,3,10,vst_nlm,524.54956,0.00009,2.17849
Video_exposure_30ms_w1920_h1200_pMono10_f20.raw,20,10,input,122.44786,1.41691,1.09903
